asymmetric,cafkafk,djacu,doronbehar,Ericson2314,fpletz,Gabriella439,getchoo,Infinidoge,jtojnar,kloenk,linsui,lovesegfault,mschwaig,numinit,nyabinary,phaer,proofconstruction,roberth,Scrumplex,tomberek,winterqt,yu-re-ka
18,22,1,17,1,7,23,9,15,5,13,6,10,16,1,8,14,11,12,19,1,21,20
19,23,1,1,1,20,22,14,13,11,16,1,1,1,1,12,15,1,1,18,1,17,21
12,22,1,3,23,2,21,20,16,17,9,8,11,13,10,19,5,4,15,14,6,18,7
1,1,1,18,22,1,17,20,1,1,1,1,19,1,1,1,1,1,23,1,21,1,1
1,19,1,23,15,22,1,20,1,21,12,1,1,1,14,17,1,1,1,13,1,18,16
16,23,1,1,20,1,21,1,1,15,1,1,1,18,1,17,19,1,22,1,1,1,1
1,19,1,1,16,20,23,1,1,21,1,1,17,1,1,1,22,1,1,1,1,1,18
13,15,2,7,22,12,14,5,4,21,1,3,18,11,10,6,20,16,19,9,23,17,8
12,5,2,22,21,14,10,13,11,20,7,15,16,3,4,1,9,6,23,8,17,18,19
23,11,4,18,19,15,12,22,2,21,6,1,13,10,16,3,8,14,20,17,9,7,5
1,22,1,1,1,19,20,1,17,1,23,1,1,1,1,1,16,1,1,15,1,18,21
2,10,4,13,21,12,16,8,3,23,6,18,20,7,5,11,9,1,22,15,14,19,17
1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,23,1,1,1,1,1,22
14,20,1,1,1,13,23,1,12,21,1,1,1,1,1,22,15,16,18,17,1,19,1
1,1,1,1,1,1,1,1,1,1,21,1,23,1,22,1,19,18,1,1,20,17,1
1,1,1,1,18,1,1,1,19,21,1,1,22,1,1,1,1,1,23,1,1,20,1
20,1,8,15,22,17,7,18,4,12,5,9,19,13,16,2,14,3,23,6,21,11,10
1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1,1,1,1
15,1,1,21,1,18,20,1,1,19,1,14,1,1,1,1,22,1,16,1,1,17,23
17,19,2,4,7,9,16,22,18,8,5,15,14,12,3,21,11,13,6,23,1,20,10
1,16,1,1,1,15,14,19,1,18,1,1,22,20,1,1,1,1,13,1,17,23,21
12,23,1,11,13,10,16,7,21,15,9,20,3,6,2,17,14,22,18,4,5,8,19
1,21,1,1,1,1,17,1,1,1,18,1,1,1,1,19,1,1,1,20,1,22,23
1,1,18,20,23,1,1,1,1,19,1,1,1,15,16,1,14,1,22,1,21,1,17
19,15,20,12,14,18,2,6,7,10,1,4,3,16,9,8,23,11,22,17,21,13,5
5,1,7,8,21,6,12,23,11,13,9,1,20,1,10,1,15,14,16,22,19,17,18
1,1,23,1,19,18,1,1,1,1,1,1,1,1,22,1,17,1,20,1,21,1,1
1,1,1,1,22,23,1,1,1,21,1,1,1,19,1,1,1,1,20,1,1,1,1
9,1,11,19,5,15,10,3,16,14,6,12,18,13,17,1,23,7,22,4,21,20,8
1,1,1,1,20,1,18,1,1,22,21,1,1,1,1,1,1,1,23,1,19,1,1
7,16,1,5,11,8,23,14,21,15,18,9,10,6,3,22,12,19,4,20,2,13,17
20,23,1,1,1,1,21,19,1,15,1,1,1,1,1,14,1,1,17,18,1,16,22
1,18,1,1,1,23,20,1,1,1,1,1,1,17,1,1,1,1,19,1,1,21,22
10,1,18,8,23,14,2,15,6,19,3,17,20,5,16,4,12,9,21,13,22,7,11
16,1,1,1,23,1,22,1,1,21,1,1,20,1,1,1,1,1,17,1,19,18,1
9,18,4,6,7,21,22,12,14,20,16,2,8,5,3,13,10,11,15,17,1,23,19
21,23,1,1,1,14,18,22,17,1,13,1,1,1,1,1,19,1,1,15,1,20,16
1,20,19,1,1,1,21,1,1,18,1,1,1,1,1,1,1,17,23,1,1,22,1
15,1,1,13,23,16,11,12,1,18,1,17,20,1,1,1,14,1,22,1,19,1,21
1,1,17,1,18,1,23,1,1,19,1,1,1,1,1,1,1,1,22,1,21,20,1
16,23,1,1,20,18,1,15,1,17,1,1,1,1,19,1,1,22,1,1,21,1,1
1,1,1,1,17,23,1,1,1,20,21,1,18,1,1,1,16,1,19,1,1,1,22
1,1,1,19,1,20,1,1,1,23,1,1,22,1,1,1,1,1,1,1,18,21,1
12,9,1,3,21,7,19,11,18,16,20,6,4,8,5,13,14,17,15,10,2,22,23
1,21,1,1,1,1,1,1,1,22,1,18,17,1,1,1,1,1,1,20,1,23,19
1,20,1,1,1,1,22,17,23,16,1,1,1,14,1,21,19,18,1,1,15,13,1
1,1,1,22,17,1,1,23,1,1,1,1,16,1,1,1,18,1,20,1,1,21,19
1,14,1,1,1,20,17,16,1,18,22,1,1,1,1,15,1,1,1,19,1,21,23
1,11,1,1,1,1,1,21,12,13,1,1,19,20,18,16,15,1,17,14,23,22,1
1,23,13,22,15,7,10,20,4,18,11,2,12,19,6,3,5,16,8,9,14,21,17
1,1,1,1,17,18,19,1,1,1,1,1,20,1,1,1,23,1,21,1,22,1,1
7,17,22,14,16,12,1,8,6,10,5,3,19,2,21,13,20,15,4,9,23,18,11
19,22,1,10,15,13,17,11,12,16,8,7,1,1,1,23,14,21,20,18,1,9,1
22,1,1,21,23,20,1,18,1,1,1,1,17,1,1,1,1,1,19,16,1,1,1
10,1,21,18,23,17,8,7,5,15,16,13,14,11,20,3,12,9,19,6,22,2,4
1,1,1,1,1,1,23,1,1,1,1,1,1,1,1,1,1,1,1,1,1,22,1
1,20,1,1,1,1,22,1,1,18,1,1,1,1,1,17,1,19,1,1,1,23,21
13,20,2,23,19,21,5,8,11,22,12,16,10,3,7,6,4,1,18,17,9,15,14
1,1,1,1,22,21,20,1,1,1,1,1,1,1,1,1,18,1,23,1,19,1,1
